                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.93814,                0.45827,                0.83845,                      1,                0.94863,                0.99228,                0.77967,                0.87249,                0.44169,                0.85896,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.0083,                0.47571,                0.87277,                      1,                 0.9504,                0.99244,                0.77263,                0.88977,                0.44051,                0.86339,              0.0008714,              0.0008714,              0.0008714
                    117,                 0.9608,                0.46226,                0.84591,                      1,                 0.9493,                 0.9927,                0.76523,                0.91457,                0.43733,                0.86777,              0.0008615,              0.0008615,              0.0008615
                    118,                0.95748,                0.44704,                 0.8605,                0.97845,                0.98387,                 0.9935,                0.75167,                 0.9614,                0.43054,                0.87599,              0.0008516,              0.0008516,              0.0008516
                    119,                0.96233,                0.45896,                0.84293,                0.97595,                0.98387,                 0.9935,                0.77031,                0.91289,                0.41564,                0.86915,              0.0008417,              0.0008417,              0.0008417
                    120,                0.99911,                0.45569,                0.85386,                      1,                0.93455,                0.98946,                 0.7895,                0.84352,                0.39942,                0.85929,              0.0008318,              0.0008318,              0.0008318
                    121,                0.97652,                0.45248,                0.84278,                0.96522,                0.96774,                0.98635,                0.77067,                0.86119,                0.41864,                0.86191,              0.0008219,              0.0008219,              0.0008219
                    122,                0.97056,                0.46862,                 0.8411,                0.96717,                0.95039,                0.97354,                0.78434,                 0.8282,                0.41988,                0.85809,               0.000812,               0.000812,               0.000812
                    123,                0.93799,                0.44424,                0.84889,                0.98301,                0.93334,                0.97871,                0.78848,                0.84162,                0.42645,                0.85938,              0.0008021,              0.0008021,              0.0008021
                    124,                0.94489,                0.45012,                0.84325,                0.96499,                0.96774,                 0.9845,                0.75079,                0.94329,                0.43277,                0.87488,              0.0007922,              0.0007922,              0.0007922
                    125,                0.92528,                0.43873,                0.82998,                0.96411,                0.96774,                0.98535,                 0.7636,                0.90951,                0.42462,                0.87126,              0.0007823,              0.0007823,              0.0007823
                    126,                0.94408,                0.44895,                0.83498,                0.96433,                0.96774,                0.98346,                 0.7774,                0.86635,                0.43615,                0.86059,              0.0007724,              0.0007724,              0.0007724
                    127,                0.91123,                0.43969,                0.84419,                0.95233,                0.98387,                0.98712,                0.77496,                0.89125,                0.43111,                0.86272,              0.0007625,              0.0007625,              0.0007625
                    128,                0.98397,                0.44575,                0.85104,                0.97852,                0.98387,                 0.9885,                0.78319,                0.82456,                0.41801,                  0.852,              0.0007526,              0.0007526,              0.0007526
